Name,amer-est-eod-kpmg-market,
Date,31-Mar-26,
Property,Label,Base
Property,Description,amer-est-eod-kpmg-market
Property,mktEnvType,EOD
IR.AUD-BBSW-6M.ZERORATE-10Y.MID,0.050331254,
EQ.USD-NYQ-WMT.SPOT.VOL::6M::0.900::STRIKE-RLTV.MID,0.269758421,
IR.USD-SOFR-ON.VOL.SWPT.RLTV.ATM+50BPS::5Y::1Y::NORMAL.MID,0.009559,
EQ.AUD-ASX-BHP.SPOT.VOL::5Y::0.500::STRIKE-RLTV.MID,0.313218694,
IR.JPY-TONAR-ON.VOL.SWPT.RLTV.ATM+300BPS::3M::6Y::NORMAL.MID,0.010549,
IR.EUR-EURIBOR-6M.VOL.SWPT.RLTV.ATM-150BPS::6M::2Y::NORMAL.MID,0.010105,
FX.GBPAUD.VOL::4M::25D PUT::MID,0.083565398,
EQ.USD-INDEX-RUT.SPOT.VOL::9M::0.900::STRIKE-RLTV.MID,0.290981085,
IR.NOK-NIBOR-6M.VOL.SWPT.RLTV.ATM-250BPS::10Y::10Y::NORMAL.MID,0.008289,
IR.SEK-STIBOR-TN.VOL.SWPT.RLTV.ATM+250BPS::1M::8Y::NORMAL.MID,0.011428,
EQ.CHF-SWX-CFR.DIV.CONT-1M,-0.036277026,
IR.DKK-CIBOR-6M.VOL.SWPT.RLTV.ATM::15Y::30Y::NORMAL.MID,0.00784,
IR.SEK-STIBOR-TN.VOL.SWPT.RLTV.ATM+200BPS::9M::25Y::NORMAL.MID,0.01109,
IR.AUD-BBSW-1M.ZERORATE-4M.MID,0.041795414,
IR.AUD-AONIA-ON.VOL.SWPT.RLTV.ATM+150BPS::5Y::3Y::NORMAL.MID,0.009539889,
IR.USD-SOFR-ON.ZERORATE-10M.MID,0.036407567,
IR.USD-SOFR-ON.ZERORATE-4M.MID,0.036558709,
IR.USD-SOFR-ON.ZERORATE-3M.MID,0.036590063,
IR.USD-SOFR-ON.ZERORATE-29Y.MID,0.040992956,
IR.USD-SOFR-ON.ZERORATE-21Y.MID,0.041729899,
IR.USD-SOFR-ON.ZERORATE-10Y.MID,0.038216232,
IR.USD-SOFR-ON.ZERORATE-23Y.MID,0.041703257,
IR.USD-SOFR-ON.ZERORATE-22Y.MID,0.041734817,
IR.USD-SOFR-ON.ZERORATE-16Y.MID,0.040964023,
IR.USD-SOFR-ON.ZERORATE-TN.MID,0.036357097,
IR.USD-SOFR-ON.ZERORATE-5Y.MID,0.035583753,
IR.USD-SOFR-ON.ZERORATE-18Y.MID,0.041435223,
IR.USD-SOFR-ON.ZERORATE-20Y.MID,0.041682205,
IR.USD-SOFR-ON.ZERORATE-40Y.MID,0.03844779,
IR.USD-SOFR-ON.ZERORATE-3Y.MID,0.035124654,
IR.USD-SOFR-ON.ZERORATE-6M.MID,0.036488925,
IR.USD-SOFR-ON.ZERORATE-2W.MID,0.036428622,
IR.USD-SOFR-ON.ZERORATE-1W.MID,0.036374151,
IR.USD-SOFR-ON.ZERORATE-3W.MID,0.036485222,
IR.USD-SOFR-ON.ZERORATE-4Y.MID,0.035207694,
IR.USD-SOFR-ON.ZERORATE-17Y.MID,0.041228946,
IR.USD-SOFR-ON.ZERORATE-5M.MID,0.036518281,
IR.USD-SOFR-ON.ZERORATE-2Y.MID,0.035553103,
IR.USD-SOFR-ON.ZERORATE-15Y.MID,0.040633559,
IR.USD-SOFR-ON.ZERORATE-25Y.MID,0.04155248,
IR.USD-SOFR-ON.ZERORATE-28Y.MID,0.041159394,
IR.USD-SOFR-ON.ZERORATE-1M.MID,0.036539242,
IR.USD-SOFR-ON.ZERORATE-24Y.MID,0.041640863,
IR.USD-SOFR-ON.ZERORATE-12Y.MID,0.039283133,
IR.USD-SOFR-ON.ZERORATE-2M.MID,0.03658558,
IR.USD-SOFR-ON.ZERORATE-11Y.MID,0.038752075,
IR.USD-SOFR-ON.ZERORATE-8M.MID,0.03646055,
IR.USD-SOFR-ON.ZERORATE-14Y.MID,0.040238117,
IR.USD-SOFR-ON.ZERORATE-8Y.MID,0.037170031,
IR.USD-SOFR-ON.ZERORATE-1Y.MID,0.036329913,
IR.USD-SOFR-ON.ZERORATE-27Y.MID,0.041309158,
IR.USD-SOFR-ON.ZERORATE-ON.MID,0.036354661,
IR.USD-SOFR-ON.ZERORATE-19Y.MID,0.041585229,
IR.USD-SOFR-ON.ZERORATE-6Y.MID,0.036104349,
IR.USD-SOFR-ON.ZERORATE-9M.MID,0.036439272,
IR.USD-SOFR-ON.ZERORATE-7Y.MID,0.036641986,
IR.USD-SOFR-ON.ZERORATE-9Y.MID,0.037693305,
IR.USD-SOFR-ON.ZERORATE-50Y.MID,0.035870727,
IR.USD-SOFR-ON.ZERORATE-13Y.MID,0.039784627,
IR.USD-SOFR-ON.ZERORATE-30Y.MID,0.040810734,
IR.USD-SOFR-ON.ZERORATE-11M.MID,0.036371378,
IR.USD-SOFR-ON.ZERORATE-7M.MID,0.036473655,
IR.USD-SOFR-ON.ZERORATE-26Y.MID,0.041441297,
IR.USD-FEDFUNDS-ON.ZERORATE-ON.MID,0.036405351,
IR.USD-FEDFUNDS-ON.ZERORATE-9M.MID,0.036144967,
IR.USD-FEDFUNDS-ON.ZERORATE-8M.MID,0.036192351,
IR.USD-FEDFUNDS-ON.ZERORATE-24Y.MID,0.041007014,
IR.USD-FEDFUNDS-ON.ZERORATE-6Y.MID,0.035440138,
IR.USD-FEDFUNDS-ON.ZERORATE-21Y.MID,0.04110344,
IR.USD-FEDFUNDS-ON.ZERORATE-17Y.MID,0.040617219,
IR.USD-FEDFUNDS-ON.ZERORATE-8Y.MID,0.036503057,
IR.USD-FEDFUNDS-ON.ZERORATE-11M.MID,0.036033289,
IR.USD-FEDFUNDS-ON.ZERORATE-6M.MID,0.036263145,
IR.USD-FEDFUNDS-ON.ZERORATE-15Y.MID,0.040028119,
IR.USD-FEDFUNDS-ON.ZERORATE-29Y.MID,0.040364615,
IR.USD-FEDFUNDS-ON.ZERORATE-10Y.MID,0.0376182,
IR.USD-FEDFUNDS-ON.ZERORATE-18Y.MID,0.040819856,
IR.USD-FEDFUNDS-ON.ZERORATE-19Y.MID,0.040966112,
IR.USD-FEDFUNDS-ON.ZERORATE-1M.MID,0.036452446,
IR.USD-FEDFUNDS-ON.ZERORATE-23Y.MID,0.041071041,
IR.USD-FEDFUNDS-ON.ZERORATE-22Y.MID,0.041105128,
IR.USD-FEDFUNDS-ON.ZERORATE-10M.MID,0.03608948,
IR.USD-FEDFUNDS-ON.ZERORATE-40Y.MID,0.037822454,
IR.USD-FEDFUNDS-ON.ZERORATE-7M.MID,0.036229751,
IR.USD-FEDFUNDS-ON.ZERORATE-7Y.MID,0.035957075,
IR.USD-FEDFUNDS-ON.ZERORATE-20Y.MID,0.041059349,
IR.USD-FEDFUNDS-ON.ZERORATE-16Y.MID,0.04035566,
IR.USD-FEDFUNDS-ON.ZERORATE-9Y.MID,0.037058882,
IR.USD-FEDFUNDS-ON.ZERORATE-2W.MID,0.036423566,
IR.USD-FEDFUNDS-ON.ZERORATE-3W.MID,0.036437886,
IR.USD-FEDFUNDS-ON.ZERORATE-1W.MID,0.036410138,
IR.USD-FEDFUNDS-ON.ZERORATE-TN.MID,0.03640595,
IR.USD-FEDFUNDS-ON.ZERORATE-3Y.MID,0.034601846,
IR.USD-FEDFUNDS-ON.ZERORATE-26Y.MID,0.04080748,
IR.USD-FEDFUNDS-ON.ZERORATE-4M.MID,0.036349849,
IR.USD-FEDFUNDS-ON.ZERORATE-28Y.MID,0.040528937,
IR.USD-FEDFUNDS-ON.ZERORATE-30Y.MID,0.040184445,
IR.USD-FEDFUNDS-ON.ZERORATE-1Y.MID,0.03597454,
IR.USD-FEDFUNDS-ON.ZERORATE-13Y.MID,0.039184599,
IR.USD-FEDFUNDS-ON.ZERORATE-50Y.MID,0.035214477,
IR.USD-FEDFUNDS-ON.ZERORATE-14Y.MID,0.039636286,
IR.USD-FEDFUNDS-ON.ZERORATE-3M.MID,0.036405861,
IR.USD-FEDFUNDS-ON.ZERORATE-2M.MID,0.036459562,
IR.USD-FEDFUNDS-ON.ZERORATE-11Y.MID,0.038163142,
IR.USD-FEDFUNDS-ON.ZERORATE-12Y.MID,0.038688186,
IR.USD-FEDFUNDS-ON.ZERORATE-5Y.MID,0.034979865,
IR.USD-FEDFUNDS-ON.ZERORATE-4Y.MID,0.034644969,
IR.USD-FEDFUNDS-ON.ZERORATE-25Y.MID,0.040917802,
IR.USD-FEDFUNDS-ON.ZERORATE-2Y.MID,0.035080485,
IR.USD-FEDFUNDS-ON.ZERORATE-5M.MID,0.036302011,
IR.USD-FEDFUNDS-ON.ZERORATE-27Y.MID,0.040676778,
